source,target,value,level
Pattern recognition (psychology),End-to-end principle,1,2
Visualization,End-to-end principle,1,2
Causal model,Causal analysis,1,2
Causal analysis,Causal chain,1,2
Geodesic,Wasserstein metric,1,2
Algebra over a field,Semantics (computer science),1,2
Social media,Health care,1,2
Big data,Health care,1,2
Data-driven,Health care,1,2
Data-driven,Social media,1,2
Data modeling,Health care,1,2
Data modeling,Social media,1,2
Situated,Field (mathematics),1,2
Visualization,Situated,1,2
Euler's formula,Semantics (computer science),1,2
Causal analysis,Causality (physics),1,2
Euler's formula,Algebra over a field,1,2
Multidimensional data,Cluster (spacecraft),1,2
Perception,Usability,1,2
Causal chain,Inference,1,2
Causal chain,Causal structure,1,2
Causal chain,Causality (physics),1,2
Causal analysis,Inference,1,2
Causal analysis,Causal structure,1,2
Expected utility hypothesis,Loss aversion,1,2
Knowledge extraction,Knowledge engineering,1,2
Graphical model,Probabilistic logic,1,2
Graphical model,Graph,1,2
Lens (geology),Focus (optics),1,2
Rendering (computer graphics),Lens (geology),1,2
Volume (thermodynamics),Focus (optics),1,2
Volume (thermodynamics),Lens (geology),1,2
Motion (physics),Tree traversal,1,2
Transfer (computing),Tree traversal,1,2
Transfer (computing),Motion (physics),1,2
Spline (mechanical),Wavelet,1,2
Smoothing,Wavelet,1,2
Smoothing,Spline (mechanical),1,2
Field-programmable gate array,Radiography,1,2
Computational fluid dynamics,Smoke,1,2
Visualization,Smoke,1,2
Rendering (computer graphics),Smoke,1,2
Volume (thermodynamics),Smoke,1,2
Atom (system on chip),Rendering (computer graphics),1,2
Quantum dot,Rendering (computer graphics),1,2
Quantum dot,Atom (system on chip),1,2
Computation,Iterative reconstruction,1,2
Artificial neural network,Data-driven,1,2
Deep learning,Data-driven,1,2
Invariant manifold,Point cloud,1,2
Voronoi diagram,Point (geometry),1,2
Spatial relation,Virtual reality,1,2
Feature (linguistics),Feature extraction,1,2
Viewpoints,Feature extraction,1,2
Viewpoints,Feature (linguistics),1,2
Viewpoints,Visualization,1,2
Point (geometry),"Streamlines, streaklines, and pathlines",1,2
Seeding,Point (geometry),1,2
Voronoi diagram,"Streamlines, streaklines, and pathlines",1,2
Voronoi diagram,Seeding,1,2
Invariant manifold,Manifold (fluid mechanics),1,2
Seeding,Visualization,1,2
Microscope,Software,1,2
Mass spectrometry,Proteome,1,2
Visualization,Proteome,1,2
Visualization,Mass spectrometry,1,2
Evolutionary algorithm,Morphing,1,2
Evolutionary computation,Morphing,1,2
Evolutionary computation,Evolutionary algorithm,1,2
Tetrahedron,Iterative reconstruction,1,2
Rendering (computer graphics),Invariant (physics),1,2
Scale invariance,Invariant (physics),1,2
Rendering (computer graphics),Diffusion,1,2
Sound (geography),Tracing,1,2
Visualization,Sound (geography),1,2
Rendering (computer graphics),Sound (geography),1,2
Space (punctuation),Architecture,1,2
Software,Computer graphics,1,2
Software,Graphics,1,2
CUDA,Field (mathematics),1,2
CUDA,Diffusion,1,2
Diffusion,Fiber,1,2
Software-defined radio,Software,1,2
Pattern recognition (psychology),Fiber,1,2
Pattern recognition (psychology),Diffusion,1,2
Cluster analysis,Tensor (intrinsic definition),1,2
Cluster analysis,Fiber,1,2
Cluster analysis,Diffusion,1,2
Bundle,Visualization,1,2
Basis (linear algebra),Order (exchange),1,2
Visualization,Order (exchange),1,2
Sound (geography),Ray tracing (physics),1,2
Software-defined radio,Radio frequency,1,2
Scale invariance,Rendering (computer graphics),1,2
Frame rate,Software,1,2
Scale (ratio),Scale invariance,1,2
Virtual reality,Navigation system,1,2
Augmented reality,Navigation system,1,2
Endoscope,Navigation system,1,2
Endoscope,Augmented reality,1,2
Reflection (computer programming),Visualization,1,2
Stream processing,Data stream mining,1,2
Frame (networking),Software,1,2
Data management,Data modeling,1,2
Software-defined radio,Process (computing),1,2
Visualization,Data management,1,2
Volume (thermodynamics),Data management,1,2
Process (computing),Wireless,1,2
Radio frequency,Wireless,1,2
Radio frequency,Process (computing),1,2
Software,Wireless,1,2
Software,Radio frequency,1,2
Software-defined radio,Wireless,1,2
Virtual reality,Augmented reality,1,2
Virtual reality,Stereo display,1,2
Virtual reality,Rendering (computer graphics),1,2
Sorting,Set (abstract data type),1,2
Polygon mesh,Focus (optics),1,2
Deep learning,Process (computing),1,2
Visual search,Visual learning,1,2
Visualization,Visual learning,1,2
Rendering (computer graphics),Visual learning,1,2
Rendering (computer graphics),Visual search,1,2
Architecture,Deep learning,1,2
Architecture,Convolutional neural network,1,2
sort,Set (abstract data type),1,2
Grid,Focus (optics),1,2
sort,Sorting,1,2
Point cloud,Visualization,1,2
Point (geometry),Visualization,1,2
Point (geometry),Point cloud,1,2
Point (geometry),Polygon mesh,1,2
Rainbow,Rendering (computer graphics),1,2
Pattern recognition (psychology),Rainbow,1,2
Visualization,Rainbow,1,2
Solid modeling,Focus (optics),1,2
Grammar,Computer graphics,1,2
Movement (music),Casual,1,2
Propagation of uncertainty,Visualization,1,2
Metaphor,Graph,1,2
Interpretation (philosophy),Graph,1,2
Interpretation (philosophy),Metaphor,1,2
Line (geometry),Graph,1,2
Line (geometry),Metaphor,1,2
Line (geometry),Interpretation (philosophy),1,2
Propagation of uncertainty,Uncertainty analysis,1,2
Propagation of uncertainty,Uncertainty quantification,1,2
Categorization,Taxonomy (biology),1,2
Grammar,Graphics,1,2
Recommender system,Taxonomy (biology),1,2
Recommender system,Categorization,1,2
Tree (set theory),Merge (version control),1,2
Convolutional neural network,Reinforcement learning,1,2
Visualization,Reinforcement learning,1,2
Deep learning,Reinforcement learning,1,2
Analytics,Reinforcement learning,1,2
Artificial neural network,Reinforcement learning,1,2
Uncertainty quantification,Probabilistic logic,1,2
User engagement,User experience design,1,2
Augmented reality,Stereo display,1,2
Visualization,Theory of relativity,1,2
Tracing,Turbulence,1,2
Tracing,Computational fluid dynamics,1,2
Tracing,Flow (mathematics),1,2
Fluid dynamics,Tracing,1,2
"Streamlines, streaklines, and pathlines",Tracing,1,2
Vortex,Tracing,1,2
FLAGS register,Metaphor,1,2
Mobile device,Liquid-crystal display,1,2
General relativity,Theory of relativity,1,2
Heat transfer,Visualization,1,2
General relativity,Visualization,1,2
Einstein,Theory of relativity,1,2
Einstein,Visualization,1,2
Einstein,General relativity,1,2
Genus,Knot (papermaking),1,2
Genus,Visualization,1,2
Topology (electrical circuits),Feature (linguistics),1,2
Stereo display,Rendering (computer graphics),1,2
Scalar field,Vector field,1,2
Heat transfer,Fluid dynamics,1,2
User interface,User engagement,1,2
Space (punctuation),Nexus (standard),1,2
Narrative,User experience design,1,2
Narrative,User engagement,1,2
Narrative,User interface,1,2
Water energy,Energy (signal processing),1,2
Nexus (standard),Energy (signal processing),1,2
Nexus (standard),Water energy,1,2
Space (punctuation),Energy (signal processing),1,2
Space (punctuation),Water energy,1,2
Stylized fact,Rendering (computer graphics),1,2
Heat transfer,Flow (mathematics),1,2
Visualization,Stylized fact,1,2
Photography,Rendering (computer graphics),1,2
Computer graphics,Photography,1,2
Visualization,Photography,1,2
Tracking (education),Vortex,1,2
Line (geometry),Vortex,1,2
Line (geometry),Tracking (education),1,2
Heat transfer,Computational fluid dynamics,1,2
Image (mathematics),Object (grammar),1,2
Computer graphics,Decompression,1,2
Visualization,Decompression,1,2
Grid,Wavelet,1,2
Surface (topology),Coordinate system,1,2
Surface (topology),Curvilinear coordinates,1,2
Tensor (intrinsic definition),Spinal cord,1,2
Visualization,Spinal cord,1,2
Scalar (mathematics),Pattern recognition (psychology),1,2
Scalar (mathematics),Support vector machine,1,2
Feature extraction,Support vector machine,1,2
Feature extraction,Scalar (mathematics),1,2
Scalar (mathematics),Tracking (education),1,2
Computer graphics,Terrain,1,2
Spline (mechanical),Digital elevation model,1,2
Point cloud,Digital elevation model,1,2
Point cloud,Spline (mechanical),1,2
Terrain,Spline (mechanical),1,2
Terrain,Point cloud,1,2
Surface (topology),Digital elevation model,1,2
Surface (topology),Spline (mechanical),1,2
Surface (topology),Terrain,1,2
Digital elevation model,Delaunay triangulation,1,2
Polygon mesh,Curvilinear coordinates,1,2
Polygon mesh,Coordinate system,1,2
Curvilinear coordinates,Coordinate system,1,2
Casting,Finite element method,1,2
Polyhedron,Delaunay triangulation,1,2
Tetrahedron,Delaunay triangulation,1,2
Tetrahedron,Computational geometry,1,2
Tetrahedron,Polyhedron,1,2
Polygon mesh,Polyhedron,1,2
Quadric,Rendering (computer graphics),1,2
Quadric,Pattern recognition (psychology),1,2
Quadric,Surface (topology),1,2
Curvilinear coordinates,Finite element method,1,2
Grid,Coordinate system,1,2
Curvilinear coordinates,Casting,1,2
Artifact (error),Rendering (computer graphics),1,2
Visualization,Blackboard (design pattern),1,2
Architecture,Blackboard (design pattern),1,2
Image warping,Rendering (computer graphics),1,2
Feature extraction,Wavelet,1,2
Tree (set theory),Volume (thermodynamics),1,2
Vortex,Core (optical fiber),1,2
Scale (ratio),Delaunay triangulation,1,2
Scale (ratio),Digital elevation model,1,2
Visualization,Digital elevation model,1,2
Collaboration,Virtual reality,1,2
Cloud computing,Electric field,1,2
Cloud computing,Thunder,1,2
Cloud computing,Thunderstorm,1,2
Cloud computing,Field (mathematics),1,2
Microscopy,Scanning probe microscopy,1,2
Microscope,Scanning probe microscopy,1,2
Cluster analysis,Process (computing),1,2
Segmentation,Process (computing),1,2
Augmented reality,Collaboration,1,2
Field (mathematics),Thunder,1,2
Geographic information system,Firefighting,1,2
Visualization,Firefighting,1,2
Visualization,Block (permutation group theory),1,2
Flow (mathematics),Solid modeling,1,2
Flow (mathematics),Volume (thermodynamics),1,2
Wind tunnel,Wind speed,1,2
Wind tunnel,Grid,1,2
Visualization,Wind speed,1,2
Field (mathematics),Thunderstorm,1,2
Field (mathematics),Electric field,1,2
Rendering (computer graphics),Delaunay triangulation,1,2
Terrain,Delaunay triangulation,1,2
Rendering (computer graphics),Digital elevation model,1,2
Quadtree,Delaunay triangulation,1,2
Quadtree,Digital elevation model,1,2
Quadtree,Scale (ratio),1,2
Quadtree,Rendering (computer graphics),1,2
Triangulation,Scale (ratio),1,2
Triangulation,Visualization,1,2
Triangulation,Rendering (computer graphics),1,2
Terrain,Scale (ratio),1,2
Thunderstorm,Thunder,1,2
Terrain,Quadtree,1,2
Polygon mesh,Digital elevation model,1,2
Polygon mesh,Scale (ratio),1,2
Visualization,Musical,1,2
Crash,Grid,1,2
Crash,Visualization,1,2
Thunder,Electric field,1,2
Thunderstorm,Electric field,1,2
Curvilinear coordinates,Wavelet,1,2
Visualization,Skeletonization,1,2
Deep sea,Seafloor spreading,1,2
Pattern recognition (psychology),Skeletonization,1,2
Visualization,Battlefield,1,2
Virtual reality,Battlefield,1,2
Terrain,Perception,1,2
Augmented reality,Terrain,1,2
Virtual machine,Terrain,1,2
Sound pressure,Spatialization,1,2
Sound (geography),Spatialization,1,2
Sound (geography),Sound pressure,1,2
Loudspeaker,Spatialization,1,2
Loudspeaker,Sound pressure,1,2
Loudspeaker,Sound (geography),1,2
Reconstructive surgery,Virtual reality,1,2
Virtual machine,Reconstructive surgery,1,2
Visualization,Cornea,1,2
Presentation (obstetrics),Magnetic resonance imaging,1,2
Wind speed,Wind tunnel,1,2
Wind speed,Computational fluid dynamics,1,2
Grid,Wind tunnel,1,2
Data-driven,Wind tunnel,1,2
Visualization,Sediment,1,2
Visualization,Estuary,1,2
Sediment,Estuary,1,2
Bathymetry,Sonar,1,2
Plume,Seafloor spreading,1,2
Plume,Seabed,1,2
Plume,Deep sea,1,2
Sonar,Seafloor spreading,1,2
Sonar,Deep sea,1,2
Sonar,Plume,1,2
Bathymetry,Deep sea,1,2
Bathymetry,Plume,1,2
Visualization,Seafloor spreading,1,2
Hotspot (geology),Bathymetry,1,2
Visualization,Deep sea,1,2
Visualization,Plume,1,2
Visualization,Bathymetry,1,2
Hotspot (geology),Seafloor spreading,1,2
Hotspot (geology),Seabed,1,2
Hotspot (geology),Deep sea,1,2
Hotspot (geology),Plume,1,2
Hotspot (geology),Sonar,1,2
Data-driven,Wind speed,1,2
Data-driven,Grid,1,2
Wind power,Wind tunnel,1,2
Surface (topology),Boundary (topology),1,2
Curvature,Image stitching,1,2
Curvature,Point cloud,1,2
Curvature,Boundary (topology),1,2
Curvature,Manifold (fluid mechanics),1,2
Curvature,Regular polygon,1,2
Polygon mesh,Image stitching,1,2
Polygon mesh,Regular polygon,1,2
Surface (topology),Image stitching,1,2
Surface (topology),Manifold (fluid mechanics),1,2
Regular polygon,Boundary (topology),1,2
Surface (topology),Regular polygon,1,2
Gauss,Gauss map,1,2
Surface (topology),Gauss map,1,2
Surface (topology),Gauss,1,2
Quaternion,Gauss map,1,2
Quaternion,Gauss,1,2
Quaternion,Surface (topology),1,2
Pixel,Transparency (behavior),1,2
Regular polygon,Manifold (fluid mechanics),1,2
Regular polygon,Point cloud,1,2
Wind power,Computational fluid dynamics,1,2
Development (topology),Visualization,1,2
Wind power,Wind speed,1,2
Wind power,Grid,1,2
Wind power,Data-driven,1,2
Aerodynamics,Wind speed,1,2
Aerodynamics,Grid,1,2
Aerodynamics,Data-driven,1,2
Aerodynamics,Wind power,1,2
Development (topology),Software,1,2
Workload,Task (project management),1,2
Regular polygon,Image stitching,1,2
Visualization,Workload,1,2
Weather forecasting,Task (project management),1,2
Weather forecasting,Workload,1,2
Boundary (topology),Image stitching,1,2
Boundary (topology),Point cloud,1,2
Manifold (fluid mechanics),Image stitching,1,2
Manifold (fluid mechanics),Point cloud,1,2
Manifold (fluid mechanics),Boundary (topology),1,2
Identification (biology),Wind tunnel,1,2
Identification (biology),Computational fluid dynamics,1,2
Vortex,Wind tunnel,1,2
Vortex,Identification (biology),1,2
Surface (topology),Resolution (logic),1,2
Resource (disambiguation),Rendering (computer graphics),1,2
Resource (disambiguation),Terrain,1,2
Visualization,Resource (disambiguation),1,2
Field (mathematics),Texture mapping,1,2
Roaming,Virtual reality,1,2
Grid,Roaming,1,2
Rendering (computer graphics),Roaming,1,2
Terrain,Roaming,1,2
Terrain,Grid,1,2
Polygon mesh,Roaming,1,2
Surface (topology),Principal (computer security),1,2
Principal component analysis,Principal (computer security),1,2
Principal component analysis,Surface (topology),1,2
Conformal map,Singularity,1,2
Conformal map,Gravitational singularity,1,2
Vector field,Conformal map,1,2
Visualization,Singularity,1,2
Visualization,Gravitational singularity,1,2
Scaling,Metric (unit),1,2
Scaling,Dimensionality reduction,1,2
Scaling,Multivariate statistics,1,2
Wavelet,Computation,1,2
Alias,Rendering (computer graphics),1,2
Volume (thermodynamics),Perspective (graphical),1,2
Casting,Perspective (graphical),1,2
Casting,Volume (thermodynamics),1,2
Robot,Trajectory,1,2
Pattern recognition (psychology),Spectrum (functional analysis),1,2
Computation,Field (mathematics),1,2
Wavelet,Field (mathematics),1,2
Pattern recognition (psychology),Computation,1,2
Metric (unit),Multivariate statistics,1,2
Cube (algebra),Data structure,1,2
Tetrahedron,Data structure,1,2
Tetrahedron,Cube (algebra),1,2
Volume (thermodynamics),Cube (algebra),1,2
Volume (thermodynamics),Tetrahedron,1,2
Space (punctuation),Multidimensional data,1,2
Visualization,Dynamical systems theory,1,2
Metric (unit),Multidimensional scaling,1,2
Visualization,Conformal map,1,2
Singularity,Gravitational singularity,1,2
Field (mathematics),Gravitational singularity,1,2
Scanning probe microscopy,Atomic force microscopy,1,2
Orientation (vector space),Microscopy,1,2
Microscope,Orientation (vector space),1,2
Atomic force microscopy,Microscopy,1,2
Atomic force microscopy,Orientation (vector space),1,2
Atomic force microscopy,Microscope,1,2
Scanning probe microscopy,Microscopy,1,2
Scanning probe microscopy,Orientation (vector space),1,2
Scanning probe microscopy,Microscope,1,2
Surface (topology),Microscopy,1,2
Augmented reality,3d model,1,2
Surface (topology),Microscope,1,2
Surface (topology),Atomic force microscopy,1,2
Surface (topology),Scanning probe microscopy,1,2
Direction vector,Flow (mathematics),1,2
Lossy compression,Wavelet,1,2
Computational fluid dynamics,Turbomachinery,1,2
Flow (mathematics),Turbomachinery,1,2
Visualization,Turbomachinery,1,2
Augmented reality,Shading,1,2
Shading,Virtual reality,1,2
Field (mathematics),Singularity,1,2
Visualization,Circulation (fluid dynamics),1,2
Tensor (intrinsic definition),Gravitational singularity,1,2
Tensor (intrinsic definition),Singularity,1,2
Aneurysm,Rendering (computer graphics),1,2
Aneurysm,Volume (thermodynamics),1,2
Polygon mesh,Visibility,1,2
Estimator,Estimation theory,1,2
Estimator,Estimation,1,2
Venus,Visualization,1,2
Reduction (mathematics),Kriging,1,2
Shading,3d model,1,2
Data reduction,Kriging,1,2
Data reduction,Reduction (mathematics),1,2
Visualization,Data reduction,1,2
Data processing,Kriging,1,2
Data processing,Reduction (mathematics),1,2
Data processing,Data reduction,1,2
Mantle (geology),Hotspot (geology),1,2
Visualization,Hotspot (geology),1,2
Tetrahedron,Subdivision,1,2
Tetrahedron,Grid,1,2
Tetrahedron,Finite element method,1,2
Motion estimation,Motion (physics),1,2
Wavelet,Lossy compression,1,2
Compression (physics),Iterative reconstruction,1,2
Motion (physics),Motion simulation,1,2
Flow (mathematics),Motion simulation,1,2
Computation,Motion simulation,1,2
Computation,Motion (physics),1,2
Computer graphics,Motion simulation,1,2
Motion estimation,Motion simulation,1,2
Motion estimation,Flow (mathematics),1,2
Lossy compression,Iterative reconstruction,1,2
Motion estimation,Computation,1,2
Motion estimation,Computer graphics,1,2
Animation,Motion simulation,1,2
Animation,Computation,1,2
Animation,Motion estimation,1,2
Line (geometry),Computation,1,2
Visualization,Kernel (algebra),1,2
Pyramid (geometry),Pattern recognition (psychology),1,2
Wavelet,Iterative reconstruction,1,2
Solid modeling,Electronic design automation,1,2
Grid,Pyramid (geometry),1,2
Topology (electrical circuits),Computational geometry,1,2
Aerodynamics,Identification (biology),1,2
Computational geometry,Genus,1,2
Adaptive mesh refinement,Finite element method,1,2
Finite volume method,Finite element method,1,2
Finite volume method,Adaptive mesh refinement,1,2
Visualization,Adaptive mesh refinement,1,2
Visualization,Finite volume method,1,2
Polygon mesh,Finite volume method,1,2
Voronoi diagram,Topology (electrical circuits),1,2
Solid modeling,Computer Aided Design,1,2
Polygon mesh,Voronoi diagram,1,2
Surface (topology),Voronoi diagram,1,2
Subdivision,Visualization,1,2
Surface (topology),Graphics,1,2
Computer Aided Design,CAD,1,2
Electronic design automation,CAD,1,2
Electronic design automation,Computer Aided Design,1,2
Solid modeling,CAD,1,2
Grid,Pattern recognition (psychology),1,2
Feature extraction,Pyramid (geometry),1,2
Subdivision,Finite element method,1,2
JavaScript,Visualization,1,2
Plug-in,Software,1,2
Visualization,Plug-in,1,2
JavaScript,Graphical user interface,1,2
JavaScript,Web page,1,2
JavaScript,Web application,1,2
JavaScript,Java,1,2
JavaScript,Software,1,2
JavaScript,Plug-in,1,2
User interface,Web page,1,2
Plug-in,Web application,1,2
User interface,Web application,1,2
User interface,Java,1,2
User interface,Plug-in,1,2
User interface,JavaScript,1,2
Gadget,Software,1,2
Modular design,Gadget,1,2
Visualization,Gadget,1,2
Grid,Finite element method,1,2
Plug-in,Java,1,2
Plug-in,Web page,1,2
Virtual world,Cloud computing,1,2
Neural coding,Iterative reconstruction,1,2
Virtual machine,Cloud computing,1,2
Iterative reconstruction,Set (abstract data type),1,2
Image (mathematics),Set (abstract data type),1,2
Image (mathematics),Iterative reconstruction,1,2
Sparse approximation,Set (abstract data type),1,2
Sparse approximation,Iterative reconstruction,1,2
Sparse approximation,Image (mathematics),1,2
Neural coding,Set (abstract data type),1,2
Neural coding,Image (mathematics),1,2
Plug-in,Graphical user interface,1,2
Neural coding,Pattern recognition (psychology),1,2
Neural coding,Sparse approximation,1,2
Web page,Graphical user interface,1,2
Web application,Graphical user interface,1,2
Java,Graphical user interface,1,2
Java,Web page,1,2
Software,Web page,1,2
Software,Web application,1,2
Deep sea,Seabed,1,2
Marine geology,Visualization,1,2
Rendering (computer graphics),Decompression,1,2
Radar,Feature extraction,1,2
Fusion,Sensor fusion,1,2
Pattern recognition (psychology),Sensor fusion,1,2
Pattern recognition (psychology),Fusion,1,2
Visualization,Fusion,1,2
Segmentation,Surface (topology),1,2
Planar,Surface (topology),1,2
Planar,Segmentation,1,2
Extraction (chemistry),Polygon mesh,1,2
Network topology,Persistent homology,1,2
Grid,Persistent homology,1,2
Grid,Network topology,1,2
Frame (networking),Image (mathematics),1,2
Frame rate,Image (mathematics),1,2
Pixel,Frame (networking),1,2
Pixel,Frame rate,1,2
Rendering (computer graphics),Frame (networking),1,2
Rendering (computer graphics),Frame rate,1,2
Pattern recognition (psychology),Orientation (vector space),1,2
Image (mathematics),Orientation (vector space),1,2
Theory of relativity,Visualization,1,2
Visualization,Geodesic,1,2
Transmission (telecommunications),Compression (physics),1,2
Combustion,Rendering (computer graphics),1,2
Lidar,Sensor fusion,1,2
Lidar,Big data,1,2
Lidar,Visualization,1,2
Lidar,Feature extraction,1,2
Lidar,Radar,1,2
Visualization,Heart valve,1,2
Microwave,Missile,1,2
Computer graphics,Java,1,2
Visualization,Combustion,1,2
Sensation,Virtual reality,1,2
Computational fluid dynamics,Combustion,1,2
Wavelet,Grid,1,2
Subdivision,Wavelet,1,2
Visualization,Subdivision,1,2
Polygon mesh,Wavelet,1,2
Surface (topology),Wavelet,1,2
Vector field,Level set (data structures),1,2
Support vector machine,Cluster analysis,1,2
Pixel,Orientation (vector space),1,2
Inkwell,Rendering (computer graphics),1,2
Visualization,Inkwell,1,2
Vortex,Rendering (computer graphics),1,2
Gaze,Virtual image,1,2
Gaze,Haptic technology,1,2
Gaze,Augmented reality,1,2
Gaze,Virtual machine,1,2
Gaze,Robot,1,2
Flow (mathematics),Seeding,1,2
Computer graphics,"Streamlines, streaklines, and pathlines",1,2
Rendering (computer graphics),"Streamlines, streaklines, and pathlines",1,2
Point (geometry),Virtual reality,1,2
Gaze,Virtual reality,1,2
Haptic technology,Point (geometry),1,2
Projector,Image resolution,1,2
High resolution,Projector,1,2
Calibration,Image resolution,1,2
Calibration,High resolution,1,2
Resolution (logic),Projector,1,2
Resolution (logic),Calibration,1,2
Camera resectioning,Image resolution,1,2
Gaze,Sensory cue,1,2
Gaze,Task (project management),1,2
Volume (thermodynamics),Inkwell,1,2
Augmented reality,Virtual image,1,2
Sensory cue,Object (grammar),1,2
Sensory cue,Task (project management),1,2
Sensory cue,Virtual reality,1,2
Virtual image,Object (grammar),1,2
Virtual image,Task (project management),1,2
Virtual image,Sensory cue,1,2
Haptic technology,Sensory cue,1,2
Augmented reality,Sensory cue,1,2
Virtual machine,Sensory cue,1,2
Gaze,Object (grammar),1,2
Virtual machine,Virtual image,1,2
Robot,Object (grammar),1,2
Robot,Task (project management),1,2
Robot,Sensory cue,1,2
Robot,Virtual image,1,2
Robot,Haptic technology,1,2
Robot,Augmented reality,1,2
Robot,Virtual machine,1,2
Lidar,Image resolution,1,2
Radar,Visualization,1,2
Marine geology,Sonar,1,2
Radar,Big data,1,2
Resampling,Grid,1,2
Resampling,Visualization,1,2
Enhanced Data Rates for GSM Evolution,Data structure,1,2
Enhanced Data Rates for GSM Evolution,Computation,1,2
Enhanced Data Rates for GSM Evolution,Grid,1,2
Rendering (computer graphics),Enhanced Data Rates for GSM Evolution,1,2
Augmented reality,Shadow mapping,1,2
Rendering (computer graphics),Shadow mapping,1,2
Shadow (psychology),Shadow mapping,1,2
Projection (relational algebra),Shadow mapping,1,2
Projection (relational algebra),Shadow (psychology),1,2
Planar,Level set (data structures),1,2
Topology (electrical circuits),Planar,1,2
Surface (topology),Tetrahedron,1,2
Field (mathematics),Support vector machine,1,2
Visualization,Support vector machine,1,2
Pattern recognition (psychology),Noise reduction,1,2
Surface (topology),Noise reduction,1,2
Simple (philosophy),Noise reduction,1,2
Resampling,Software,1,2
Projection (relational algebra),Polygon mesh,1,2
Feature extraction,Pixel,1,2
Polygon mesh,Pattern recognition (psychology),1,2
Volume (thermodynamics),Decompression,1,2
Subdivision,Bézier curve,1,2
Surface (topology),Bézier curve,1,2
Augmented reality,Robot,1,2
Haptic technology,Robot,1,2
Haptic technology,Augmented reality,1,2
Feature (linguistics),Grid,1,2
Pattern recognition (psychology),Grid,1,2
Polygon mesh,Feature extraction,1,2
Feature extraction,Salient,1,2
Virtual machine,Java,1,2
Graphics,Java,1,2
Graphics,Virtual machine,1,2
Volume (thermodynamics),Java,1,2
Salient,Feature (linguistics),1,2
Salient,Pattern recognition (psychology),1,2
Pixel,Feature (linguistics),1,2
Pixel,Salient,1,2
Simple (philosophy),Pattern recognition (psychology),1,2
Simple (philosophy),Surface (topology),1,2
Simplicial complex,Subdivision,1,2
Magnetic field,Field (mathematics),1,2
Computational geometry,Set (abstract data type),1,2
Computational geometry,Point (geometry),1,2
Computational geometry,Level set (data structures),1,2
Surface (topology),Set (abstract data type),1,2
Surface (topology),Point (geometry),1,2
Surface (topology),Level set (data structures),1,2
Visualization,Base (topology),1,2
Plasma,Field (mathematics),1,2
Magnetic field,Plasma,1,2
Level set (data structures),Point (geometry),1,2
Data modeling,Field (mathematics),1,2
Sensor fusion,Image resolution,1,2
Big data,Image resolution,1,2
Big data,Sensor fusion,1,2
Feature extraction,Image resolution,1,2
Feature extraction,Sensor fusion,1,2
Radar,Image resolution,1,2
Radar,Sensor fusion,1,2
Point cloud,Level set (data structures),1,2
Polygon mesh,3D reconstruction,1,2
Nyquist–Shannon sampling theorem,Sample (material),1,2
Advection,Vector field,1,2
Undersampling,Sample (material),1,2
Undersampling,Nyquist–Shannon sampling theorem,1,2
Flow (mathematics),Diffusion,1,2
Lagrangian,Vector field,1,2
Lagrangian,"Streamlines, streaklines, and pathlines",1,2
Lagrangian,Vortex,1,2
Advection,Computational fluid dynamics,1,2
Advection,Flow (mathematics),1,2
Advection,"Streamlines, streaklines, and pathlines",1,2
Polygon mesh,Point (geometry),1,2
Advection,Visualization,1,2
Advection,Vortex,1,2
Advection,Lagrangian,1,2
Virtual reality,Point (geometry),1,2
Computation,Point (geometry),1,2
Computation,Point cloud,1,2
3D reconstruction,Point (geometry),1,2
3D reconstruction,Computation,1,2
Camera resectioning,High resolution,1,2
Camera resectioning,Resolution (logic),1,2
Projection (relational algebra),High resolution,1,2
Projection (relational algebra),Resolution (logic),1,2
Convection–diffusion equation,Diffusion,1,2
Advection,Tensor (intrinsic definition),1,2
Advection,Field (mathematics),1,2
Advection,Diffusion,1,2
Advection,Convection–diffusion equation,1,2
Line (geometry),Texture mapping,1,2
Line (geometry),Pattern recognition (psychology),1,2
Scalability,Architecture,1,2
Stream processing,Pipeline (software),1,2
Stream processing,Pipeline transport,1,2
Stream processing,Architecture,1,2
Stream processing,Scalability,1,2
Shading,Texture mapping,1,2
Image resolution,Ray tracing (physics),1,2
Image resolution,Tracing,1,2
Field (mathematics),Ray tracing (physics),1,2
Field (mathematics),Image resolution,1,2
Resolution (logic),Ray tracing (physics),1,2
Resolution (logic),Tracing,1,2
Convection–diffusion equation,Field (mathematics),1,2
Convection–diffusion equation,Tensor (intrinsic definition),1,2
Line (geometry),Planar,1,2
Polygon mesh,Lossy compression,1,2
Topology (electrical circuits),Flow network,1,2
Diffusion,Flow (mathematics),1,2
Nonlinear system,Anisotropy,1,2
Nonlinear system,Flow (mathematics),1,2
Nonlinear system,Diffusion,1,2
Enhanced Data Rates for GSM Evolution,Iterative reconstruction,1,2
Surface (topology),Enhanced Data Rates for GSM Evolution,1,2
Topology (electrical circuits),Data compression,1,2
Transmission (telecommunications),Topology (electrical circuits),1,2
Line (geometry),Kernel (algebra),1,2
Transmission (telecommunications),Polygon mesh,1,2
Compression (physics),Topology (electrical circuits),1,2
Compression (physics),Transmission (telecommunications),1,2
Sprite (computer graphics),Rendering (computer graphics),1,2
Sprite (computer graphics),Terrain,1,2
Sprite (computer graphics),Visualization,1,2
Visualization,Direction vector,1,2
Planar,Kernel (algebra),1,2
