source,target,value,level
Computer vision,Engineering drawing,1,1
Artificial intelligence,Engineering drawing,1,1
Acoustics,Mechanics,1,1
Pure mathematics,Mathematical analysis,1,1
Computer graphics (images),Distributed computing,1,1
Distributed computing,Human–computer interaction,1,1
Computational science,Geometry,1,1
Operating system,Distributed computing,1,1
Algorithm,Geometry,1,1
Algorithm,Human–computer interaction,1,1
Parallel computing,Operating system,1,1
Marine engineering,Meteorology,1,1
Surgery,Human–computer interaction,1,1
Artificial intelligence,Programming language,1,1
Software engineering,Multimedia,1,1
Marine engineering,Real-time computing,1,1
Parallel computing,Computer hardware,1,1
Operating system,Multimedia,1,1
Computer vision,Remote sensing,1,1
Artificial intelligence,Remote sensing,1,1
Programming language,Operating system,1,1
Operating system,Computer graphics (images),1,1
Operating system,Embedded system,1,1
Computer architecture,Operating system,1,1
Composite material,Mechanics,1,1
Computational science,Operating system,1,1
Mechanics,Composite material,1,1
Astronomy,Remote sensing,1,1
Computer vision,Cognitive psychology,1,1
Statistical physics,Mechanics,1,1
Computer security,Data science,1,1
Cardiology,Internal medicine,1,1
Internal medicine,Radiology,1,1
Medical physics,Radiology,1,1
Parallel computing,Theoretical computer science,1,1
Artificial intelligence,Applied mathematics,1,1
Computer graphics (images),Radiology,1,1
Computer graphics (images),Software engineering,1,1
Biomedical engineering,Nuclear medicine,1,1
Theoretical computer science,Data science,1,1
Computer vision,Parallel computing,1,1
Information retrieval,Computer vision,1,1
Geophysics,Mechanics,1,1
Cardiology,Surgery,1,1
Computational biology,Biological system,1,1
Computational biology,Chemical physics,1,1
Biological system,Chemical physics,1,1
Programming language,Data science,1,1
Human–computer interaction,Mathematics education,1,1
Data science,Mathematics education,1,1
Visual arts,Human–computer interaction,1,1
Visual arts,Multimedia,1,1
Computer graphics (images),Visual arts,1,1
Software engineering,Computer hardware,1,1
Database,Data science,1,1
Algorithm,Discrete mathematics,1,1
Discrete mathematics,Combinatorics,1,1
Software engineering,Artificial intelligence,1,1
Information retrieval,Algorithm,1,1
Cartography,Data science,1,1
Data mining,World Wide Web,1,1
Computer vision,Natural language processing,1,1
Knowledge management,Information retrieval,1,1
Knowledge management,World Wide Web,1,1
Programming language,Computer hardware,1,1
Theoretical computer science,Combinatorics,1,1
Theoretical computer science,Computer graphics (images),1,1
Statistics,Data mining,1,1
Statistics,Data science,1,1
Computer graphics (images),Database,1,1
Data mining,Database,1,1
Artificial intelligence,Database,1,1
Statistics,Algorithm,1,1
Artificial intelligence,Architectural engineering,1,1
Architectural engineering,Human–computer interaction,1,1
Algorithm,Theoretical computer science,1,1
Multimedia,Mathematics education,1,1
Composite material,Optics,1,1
Computational science,Computer architecture,1,1
Artificial intelligence,Evolutionary biology,1,1
Information retrieval,Cognitive psychology,1,1
Knowledge management,Risk analysis (engineering),1,1
Risk analysis (engineering),Data science,1,1
Computer hardware,Artificial intelligence,1,1
Computer hardware,Real-time computing,1,1
Artificial intelligence,Transport engineering,1,1
Remote sensing,Water resource management,1,1
Public relations,Advertising,1,1
Mathematics education,Machine learning,1,1
Natural language processing,Algorithm,1,1
Knowledge management,Artificial intelligence,1,1
Data science,Cognitive psychology,1,1
Machine learning,Information retrieval,1,1
Speech recognition,Artificial intelligence,1,1
Speech recognition,Machine learning,1,1
